Batch 578: Elapsed time: 0:04:25, cells: 8746, cells/sec: 33.00, nnz: 3.89M, nnz/sec: 14679.19, nnz/cell: 444.8, max_nnz_active: 878.38M, max_cells_active: 511999 
Batch 557: Elapsed time: 0:04:25, cells: 9345, cells/sec: 35.26, nnz: 21.14M, nnz/sec: 79769.46, nnz/cell: 2262.1, max_nnz_active: 1243.52M, max_cells_active: 511980 
Batch 347: Elapsed time: 0:04:26, cells: 8568, cells/sec: 32.21, nnz: 20.94M, nnz/sec: 78740.21, nnz/cell: 2444.5, max_nnz_active: 1179.33M, max_cells_active: 499239 
Batch 853: Elapsed time: 0:04:29, cells: 9677, cells/sec: 35.97, nnz: 16.40M, nnz/sec: 60965.80, nnz/cell: 1694.7, max_nnz_active: 1259.11M, max_cells_active: 511999 
Batch 125: Elapsed time: 0:04:29, cells: 11036, cells/sec: 41.03, nnz: 24.27M, nnz/sec: 90227.32, nnz/cell: 2199.3, max_nnz_active: 1016.89M, max_cells_active: 511986 
Batch 724: Elapsed time: 0:04:29, cells: 14825, cells/sec: 55.11, nnz: 8.17M, nnz/sec: 30369.97, nnz/cell: 551.1, max_nnz_active: 1145.66M, max_cells_active: 494925 
Batch 63: Elapsed time: 0:04:30, cells: 13609, cells/sec: 50.40, nnz: 13.14M, nnz/sec: 48651.63, nnz/cell: 965.2, max_nnz_active: 978.26M, max_cells_active: 511681 
Batch 939: Elapsed time: 0:04:32, cells: 9008, cells/sec: 33.12, nnz: 28.72M, nnz/sec: 105580.74, nnz/cell: 3188.1, max_nnz_active: 1217.81M, max_cells_active: 511993 
Batch 885: Elapsed time: 0:04:35, cells: 10611, cells/sec: 38.59, nnz: 18.03M, nnz/sec: 65556.34, nnz/cell: 1699.0, max_nnz_active: 1261.07M, max_cells_active: 502688 
Batch 348: Elapsed time: 0:04:35, cells: 10326, cells/sec: 37.55, nnz: 27.41M, nnz/sec: 99675.33, nnz/cell: 2654.5, max_nnz_active: 1105.62M, max_cells_active: 510867 
Batch 80: Elapsed time: 0:04:37, cells: 10463, cells/sec: 37.77, nnz: 3.64M, nnz/sec: 13150.04, nnz/cell: 348.1, max_nnz_active: 1242.77M, max_cells_active: 511999 
Batch 918: Elapsed time: 0:04:37, cells: 12094, cells/sec: 43.66, nnz: 20.25M, nnz/sec: 73109.87, nnz/cell: 1674.5, max_nnz_active: 1443.49M, max_cells_active: 511924 
Batch 558: Elapsed time: 0:04:38, cells: 9066, cells/sec: 32.61, nnz: 20.67M, nnz/sec: 74353.49, nnz/cell: 2280.0, max_nnz_active: 1243.52M, max_cells_active: 511980 
Batch 59: Elapsed time: 0:04:38, cells: 8348, cells/sec: 30.03, nnz: 17.62M, nnz/sec: 63381.47, nnz/cell: 2110.7, max_nnz_active: 1306.21M, max_cells_active: 503669 
